r	的
thqi	笛卡尔
toyf	释读
wdsm	僚机
wkck	人喊马嘶
wsee	体貌
wvcq	众怒难犯
xhwj	引介
xios	纱灯
yonh	弯眉
yqyc	诡谲
ysqr	庖丁解牛
agao	鷨
avyn	荵
dngd	尪
hpq	眈
hpqn	眈
hqcg	韰
htrt	睋
jool	蟧
kamy	嗊
khyj	躋
kkje	囅
lckd	囼
oakk	熰
osg	粞
pssu	冧
qkhy	鋜
qnn	釲
qomk	鯛
qoqt	鯼
thso	鷍
tkh	篑
tkhm	篑
ujan	戅
uujd	瘖
wppn	館
wywy	雔
yaah	誡
ygq	廒
aaou	工料
bunk	障壁
cacu	骐骥
cmmq	观风
dcfq	码元
dgek	硬腭
ebld	服罪
eput	腔道
esvi	采录
eyqy	脑勺
fate	载舟
fbcc	地垒
fcnt	去尾
fhnk	趋避
fqqi	远销
gquq	残次
guwn	事关全局
gwdf	弄假成真
haih	虚渺
ihea	滤膜
ihge	淑静
iice	水能
ioom	光灿灿
iuol	洋烟
iygm	流丽
jaoa	蜡炬
jaqn	暴饮
jqww	易人
kgyy	呈文
kwxe	中低级
mfgn	风雨不改
mwqw	赊欠
nfyn	发刊词
nhmw	惧内
nhrj	收揽
oodi	火硝
oytf	粮行
oytg	粮秣
pgnv	福至心灵
pobw	穿凿附会
qerh	解掉
qilp	锁边
qtqg	独往独来
qtrn	狂气
qvxa	银红
qyqi	锒铛
reyc	扔弃
rmxy	缺编
rqmt	抵账
rxtf	指靠
teec	笑盈盈
trwx	特拉华
tubi	乘隙
udby	关防
ueey	前脑
uhst	冷眼相待
uqrd	交拜
uuhb	将门虎子
vikk	妙品
vntm	刀身
wfjy	佳景
whsf	修枝
wtnj	侮慢
wwls	坐困
xjfp	缆索
xyxf	缠结
yqlk	底架
yqoo	底火
yysj	访查
qnn	饲
qnn	馔
qnn	锔
atfh	蓗
avcb	莭
caky	驩
eafm	膩
fdxn	垅
ihg	沚
iync	灋
lqay	軧
maq	岖
maqy	岖
mat	峣
mny	赆
mnyu	赆
mtji	飉
nth	怍
nthf	怍
qpqb	鋺
qtcy	獁
qtwh	鏦
sgsj	醰
swwn	麫
tfni	毜
vusy	嫻
wvbh	邠
xwn	缒
xwnp	缒
akju	切中时弊
akqd	或然
arwg	七扭八歪
bfst	陆桥
cdta	畚箕
dfdx	左支右绌
diqt	在逃犯
dkdr	大吹大擂
dway	春荒
epfc	受动
fbih	地波
fkfg	喜雨
fwnx	动人心弦
gbpm	一孔之见
inru	漏接
iorg	淡抹
iqrq	淘换
jttm	临身
jurk	暗扣
jxwk	昆仲
klnk	另辟
krpj	听审
kxuh	中继站
ltwy	架得住
luyy	较广
mwgl	内画
nfnc	丑怪
nfqk	慰勉
oywa	粮袋
pbxq	字纸
pfdg	守土有责
prpu	牢实
qgnh	鲜蛋
qgpd	鳏寡
quuf	迎头痛击
rxba	指陈
smxk	机织
tiyb	乔治敦
tqsy	称述
tsxa	条绒
tyah	入邪
uatm	迸射
ubyc	逆序
ugmq	凄风
uigq	冰消瓦解
umtv	商委
uqwd	将佐
xlag	细巧
yetf	哀告
yjsm	放映机
ynqe	房角
nth	屣
aisu	莯
auej	葥
cfsh	骦
dnh	嘏
dnhc	碬
dxx	砒
dxxn	砒
eeve	貇
epd	迌
euph	腣
haow	歔
hape	矇
hgh	眄
hghn	眄
jak	蜮
jakg	螼
jdfo	鷐
jffg	晆
jqyy	虳
lcfg	軽
mfhm	巔
mqbj	岇
mtjl	飀
mwvo	鳯
nkh	忡
nkhh	翀
puaa	裓
pudw	裌
puj	褴
pujl	褴
puth	袶
qgey	鋪
qgnr	鳛
qhy	釙
qmwy	鏙
vdf	娠
vdfe	娠
vrmh	婂
wcr	侔
wcrh	侔
xtyk	嚮
ylw	谡
yynx	廘
agtd	功到自然成
ajxx	茧丝
audy	卧病在床
awnd	共居
bkwv	职分
bwjj	队日
dsgh	有禁不止
effy	胸无城府
euxf	胶结
ffxn	无远弗届
gnoy	开司米
gqur	一鳞半爪
gxyh	互让
hjmq	卓见
jcyj	紧裹
jgtw	题签
jgua	量瓶
jqaa	歇工
ldje	因明
lfpr	黑牢
lkpt	贺客
ltyf	略读
lwfa	界域
naam	慌恐
ncnu	怡悦
odpg	炼石补天
qkhn	钟鼎
quuq	匀净
qxys	钢丝床
rnaf	扬鞭
rtva	托媒
rtyf	播讲
ryem	扩股
saub	横逆
scug	桶盖
tdcq	雉鸡
thdw	自奉
uhlg	交战国
uiiu	美滋滋
umfh	端直
wfku	父老兄弟
wifg	余波未平
wwmj	偏信则暗
xtrg	张皇
xvis	绍酒
yatu	调节税
ygdh	主存
yjkh	裹足
ylje	禀明
ymfd	庐山真面
ymry	望风披靡
yoth	亦算
ysxy	麻纺
nkh	愦
anwu	芵
awyv	舊
cafo	驧
eevq	貎
epf	腙
epfi	腙
fafj	墸
ffn	圬
ggng	玙
gqei	豗
iueg	湇
jtn	虼
lkw	轵
mdm	遄
mdmp	遄
mfqn	貦
mhuq	帨
nyh	忭
nyhy	忭
qcy	鎷
qen	觖
qenw	觖
qgt	鳆
qgtt	鳆
qoie	鮹
qotg	鮏
qqkq	鋔
qtmt	銵
qwyk	鋡
sgef	釂
stfj	櫡
swwm	賚
ttll	丿
weyy	伋
wpsh	佇
wycu	隻
aeyw	散座
apxg	劳绩
awqv	共价键
cdrr	参拍
cqxx	巴解组织
dngi	臧否
ecia	盈满
ecye	胎衣
efle	肝胃
ekrn	臊气
epim	受测
eqdq	脆爽
erek	胼手胝足
ettt	用笔
fmfi	无风起浪
fyap	坟茔
gnub	与闻
iana	汇展
jpjw	螟蛉
kmbb	嗣子
lmbb	轴子
lper	置之脑后
mfqo	雕镂
mmlt	见风转舵
mqnf	见猎心喜
mykt	凡响
njkk	展览品
nkrl	尽忠报国
nquq	遐迩闻名
ntiy	尾注
oadi	煤耗
pfqt	宁馨儿
pnii	蜜水
ppuo	安家立业
pttx	宅第
qdgi	然否
qgdf	鱼唇
qsqu	多棱镜
rgfl	乒协
rjxj	白虹贯日
rtqk	托名
scuy	权门
sjxf	查结
snri	杨朱
swsg	枪柄
tcum	私弊
tmwi	移山倒海
uayl	并为
ueic	前汉
vnpw	鼠窜
wiqi	俏销
wlcn	伽马
woyg	企业主
wxwm	倾侧
xksj	缉查
xmmd	纳贿
xxph	幽寂
ytkh	诈唬
ffn	雩
mdm	颛
ffn	恚
aahh	茝
adjg	韮
adjn	菴
ahnr	掔
akfw	歎
aqv	萏
aqvf	萏
bmo	粜
bmou	粜
cwet	駗
dftf	硏
dib	耔
ebtk	嗠
egb	肫
eoy	脒
eplh	腪
fdm	顸
fdmy	顸
ffln	劸
fpgj	螜
giph	瑺
gtqi	瓈
ielf	灂
iyce	淯
jmn	虮
jrwy	昳
khhc	躩
khx	跸
khxf	跸
krqy	啲
lnn	劜
nfwk	懎
pydg	祏
qdww	鋏
qhar	鎼
qlpy	鏈
qtx	猕
qtxi	猕
rln	劤
sjlg	榅
tend	艍
tlp	笾
tlpu	笾
tqto	鯬
udu	鄯
udub	鄯
ulk	閳
uqa	阍
uwww	閦
wgfn	僫
wvgw	鴥
wwkd	豀
adry	藏掖
alug	功盖
aptp	劳乏
auir	革新派
ayyc	荒弃
blga	阵形
bqpv	孤儿寡妇
cywf	参议会
dgwm	感佩
enns	用尽心机
fltt	动辄得咎
fnyd	专诚
fupe	丧家
ghya	正席
gtmn	碧血丹心
gxjq	互易
haug	虚症
igap	清莹
igil	清涟
jcpr	坚牢
jhhv	虫眼
kdtv	中顾委
khxq	践约
kkpu	口实
lfts	黑箱
lwhw	轮齿
mwlp	内边
mwua	肉冻
nkrt	劈手
nurb	飞报
ppfp	之过
qhma	外贼
qwfk	铃鼓
rlpt	舞客
rrap	指挥若定
rvfg	招干
rvsy	热核
sisk	桃杏
sjyw	查夜
sraq	棉区
tavt	生花妙笔
tmkg	徽号
toou	釉料
touq	翻浆
trxj	御旨
ucgo	痛恶
ujmj	章则
uksa	冲模
ulvt	兽群
uupx	遵章守纪
vkpy	如神
wdyc	优育
wfjt	舍监
wjkf	傅里叶
wtuq	侨资
wume	伞骨
xfbc	续娶
xgdl	弥天大罪
xiaj	纱幕
xnyb	引以为耻
xqcw	绝难
xqfa	绝域
xrfq	绵远
ycxl	育幼
yedh	哀艳
yggq	义形于色
ytnp	谢忱
aad	葚
aadn	葚
afkp	薳
agwq	薾
alv	匦
apwy	蒮
aqah	荈
avye	袃
awxx	蒊
axjl	藴
cbtm	嵍
daht	厊
dsgg	砵
enn	肊
fhks	趮
ftfh	垳
gmho	鳾
godn	慭
iol	瀵
iolw	瀵
iqoj	瀂
itan	汑
itdy	潅
jymk	暠
khl	躅
khlj	躅
nfkg	恄
odgt	煘
puwc	袊
qmmg	銏
qoyn	魲
qthn	鎴
rvnn	慇
sfkk	櫺
sgfh	杅
sgvi	醁
stgo	櫄
tlmu	簤
tyvi	穅
uguh	閛
ukkd	閭
umti	闝
upm	啻
upmk	啻
uyuh	辯
vfny	娡
vpnn	婠
whic	俶
wkks	僺
wpu	飠
wpwy	飤
acse	茅棚
cqmd	驳岸
dhuv	艳妆
dovn	灰鼠
efyo	脚迹
eige	悬梁刺股
fbdx	地垄
flrm	井田制
fndi	亏耗
fqnl	无翼
gaqg	开印
gtbf	开科取士
gurv	一头热
hixg	叔母
hmvv	贞妇
igmt	清账
imje	清风明月
inif	泥污
itml	海岬
jtcw	临难
kdbd	顺承
khru	趿拉
kkbl	骂阵
kkyo	口谈
kqtp	吹管
lufg	较坏
mdtt	炭笔
mfgb	刚直不阿
mpfm	凤冠霞帔
mykb	山高路险
ogte	糟透
ooin	火烫
ptnd	客居
qdyr	乐而忘返
qhai	外藩
qrqy	铁勺
qviy	急流
rbpj	报审
rppg	擦写
rqpg	抱定
rvpo	招灾
sdyp	概而言之
seuj	极意
smdd	机套
taqs	长钉
tjdp	德里达
tnuu	身心交瘁
uxiy	凝注
vigw	好学不倦
vund	姘居
whai	悠荡
wknh	保收
wyvc	含怒
xaft	红教
xamh	绒帽
xlsy	细述
xxnf	幽愤
yaab	遮荫
yfdr	诗碑
ysia	订满
ywbh	遮人耳目
yxfq	玄远
yyxa	弯弯绕
akky	雚
axcu	苰
cjfh	駻
driy	硃
dyb	礅
dybt	礅
ewgu	膯
eyu	臁
iqdm	頫
jftj	螧
lgd	囯
lmu	買
lmun	辋
pytd	祅
qedk	觭
qeu	觯
qeuf	觯
rgbn	扽
rhit	捗
rnnk	挶
udpa	羫
unh	瘕
unhc	瘕
uyn	阂
uynw	痎
vfcy	妘
vnwy	嬥
vwvo	鳭
ynky	臝
ynqq	扅
aiss	黄粱梦
bldw	孟春
bwbd	附随
dcjt	雄蜂
esse	彩棚
fijp	堤溃蚁穴
fljx	南回归线
gket	速胜
icqg	治印
idll	湖田
ihiw	小雀
iyst	渡桥
jcbb	竖子
jgxj	题旨
jnoo	电火
jquy	歇凉
jyfq	旷远
khqc	足色
kmtm	吊射
lmgt	恩同再造
mwkk	内患
nuan	习艺
oftf	断井颓垣
oneb	断乳
pgkg	宝号
ppdy	宽宏大度
qaxf	锋芒毕露
qbrh	凶年
qqpd	多寡
qudi	镁砂
rllg	押车
ruaf	拌蒜
sdph	枯寂
sktr	杯中物
smif	栉风沐雨
tgai	垂落
tkfr	积垢
ugpn	间不容发
uimd	冰岩
unkk	决口
upey	旁及
uxln	凝思
uypo	闹灾
uyuf	门斗
vker	迢遥
vmle	九曲回肠
vnfb	始发地
wgbi	合卺
xlri	细挑
xtyp	纤毫
xwhh	纵目
ywua	访贫问苦
aha	蘧
aijl	蕰
aisi	薸
aqdh	莃
fpwa	埪
gpnn	琯
hase	虨
ilrc	魙
ivyy	汍
jiqn	晀
lfcy	転
lfoa	黓
oahh	烥
pujx	裩
qevi	觮
qjlg	鎾
rrcq	鋬
saak	櫙
usi	閑
uwkq	閱
wyny	雂
wyvj	創
yaat	諓
yomh	帟
yqbh	訩
aiir	落泊
aium	东端
aiys	东床
akuj	匮竭
aulj	共商国是
avuj	切音
awty	花簇
ayph	荒寂
bddx	承袭
bjjn	阳电
ckge	台甫
djkg	悲号
dmgy	春风一度
dtlw	帮办
dwpy	奉祀
epec	受胎
eyqg	脏钱
gapa	不世之功
gcfu	至境
gwdh	珍存
gwlg	开倒车
heyn	肯綮
hjsr	桌板
htfc	眨动
ijrd	混排
iqfd	滥杀无辜
jjcc	紧紧巴巴
jqfp	歇过
jvhv	照眼
lygt	略高一筹
meeu	骨胶
mgwv	赋分
mwex	内脂
nfsr	层析
nlqd	翼然
ofyn	灶房
oses	灯彩
pdsw	穷奢极欲
pttr	寄生物
puxy	补编
qkga	免刑
rhfm	扑击
rlth	反转片
rvbe	热阻
rven	热肠
rvxn	执纪
srnk	板壁
tbaw	知子莫若父
tcpf	径赛
teah	秀雅
tfwm	赞佩
tjex	香脂
tmyf	自由诗
tudy	千门万户
ucgq	痛歼
uqfp	瓷壶
utmm	痛入骨髓
uwin	冷烫
uypt	门额
vipw	即兴之作
vofu	灵境
wseg	舍本逐末
wsqy	鸺鹠
wvbi	仇隙
xgqd	纯然
xuew	绷着脸
xxwn	幽僻
yjji	亮晃晃
ahqb	莧
aiwg	虃
apfr	藆
auko	鷰
axaf	葒
axx	蒈
axxr	蒈
boye	褧
cjpv	騴
cuxw	驥
fdpy	垯
ffam	墳
hwb	龉
hwbk	龉
jfcy	蚑
jtaj	昇
jwfy	蚹
lgbn	軘
mthf	岞
pudg	袥
pupl	裈
qttf	獋
qwhe	鏅
qyno	鑣
sgpf	醡
sjgg	柦
tvk	笤
tvkf	笤
uwwi	疭
uwyd	閵
vmdy	姎
wtlf	畬
xfag	繊
ycke	袬
ytxu	誨
yywf	誶
akvs	勤杂
aqxa	艾绒
arwu	七拼八凑
awhh	花上
bdcn	堕马
bylf	防黑
ccem	双股
ddqc	厉色
dnnh	爽心悦目
ebau	乳燕
eglw	县办
fmma	南曲
fqlv	无轨
guld	平畴
gume	颊骨
gytm	斑秃
itoo	活火
iuqg	洋钱
kbuk	中联部
kfxv	吐绿
kgkq	号啕
khiu	跨洋
klqd	喟然
knol	叼烟
ktck	呼台
lejp	四脚蛇
nnyp	书亭
ntjq	改易
oghl	糟卤
oqhv	炮眼
pawa	宽贷
pctl	宝马香车
pewg	家鸽
prya	牢度
purv	实招
pwvj	空巢
rbbu	推陈出新
rcbc	择取
rrnq	势所必然
sjki	查哨
spad	枕藉
syoy	核糖
taga	长形
tgyl	生为
thme	延髓
tkto	和番
toff	翻土
umym	商调
utsg	痴醉
uyrv	凉热
vbrv	好招
viyn	妙诀
vntu	刀箭
vpxg	婶母
wqnh	低眉
wuhw	伞具
wujt	伴星
wwqd	悠悠然
wyax	含蕴
xluv	细瘦
xxln	幽思
yuth	谱牒
dth	砟
dthf	厏
efwy	臛
ewwf	脞
ifah	泋
ikj	渑
ikjn	渑
jnyy	蚇
khgf	跮
kim	唢
kimy	嗩
llf	畕
mhh	帔
mhhc	帔
nsoy	憟
ogu	黹
ogui	黹
puuq	裞
puut	襒
qetr	觴
qgcf	銍
qjpd	迿
qkkg	鋁
qndg	鋸
qout	鮷
qqbh	卶
rhao	鷉
tefv	艝
vbh	邚
vtke	裠
vvfh	姧
wpth	飾
wpvg	侒
xgwq	彌
xssy	綝
xtf	绗
xtfh	绗
ymkg	诇
ahdm	苫布
alld	功罪
avum	萧飒
cbiw	驰誉
cedx	柔肠百结
ctkh	骄躁
dcmc	雄峻
dfxu	磕绊
dmkk	存贮器
eajj	腊日
eulw	胶轮
ffqu	封镜
fiwy	求售
giui	玉洁冰清
gmtp	开山鼻祖
gmyt	两讫
gqut	殉道
grqn	珠饰
gtpi	不智之举
ibtr	渗出物
idrt	学有所长
jaww	蜡人
jkrf	暗中摸索
juqi	暗锁
jyvj	蚁巢
kqtk	喟然长叹
mird	峭拔
mtpf	败寇
mwus	内亲
napr	迟暮之年
ncsu	怪样
nctt	惨笑
nfsh	丑相
nhow	蛋粉
nkfo	心中无数
nmhg	心同此理
nrye	犀牛望月
nuuf	以意逆志
pimq	穿堂风
pyaj	祖墓
qgiu	鲜润
rakq	看菜吃饭
rnxf	扭结
rtad	播种期
sdbb	橱子
ssnd	栖居
tits	箔条
tjwc	选贤任能
tqst	衔枚
tqtm	移向
tudt	积善成德
ueue	痈疽
utwj	首倡
uxut	慈颜
vfif	奸污
vswr	杂件
wwsi	人欲横流
xrdm	弧面
xrrr	张皇失措
yldw	禀奏
yluy	库门
yrnw	诛戮
aahy	蕥
aitd	萿
atou	萩
ayno	蘪
ayqy	菧
ccqn	馻
igjq	浭
jcaj	昪
jqdh	晞
jrhm	螔
khrt	躈
kplh	喗
kuvo	嗛
lfo	黢
lfot	黢
nfoo	懗
puqk	袧
pus	襻
pusr	襻
qghc	鲏
qjmy	鍝
rakg	掝
saat	棧
term	徭
tmdd	躾
tvhq	覣
twyc	彾
tynx	簏
tyxh	衒
ute	瘢
utec	瘢
uthk	噵
uwyo	癄
wftn	侤
wpqn	飽
adsm	戎机
aoqv	敬业乐群
bgfw	陋规
dcit	奋勇当先
dqks	爽呆
eqvw	爱钱如命
feec	喜盈盈
fgru	干拌
fhlx	南卡罗来纳
gjto	更番
gkdk	一唱三叹
gttk	麦种
gxdg	互感
hnep	颅腔
iaxj	汇费
ibiv	池沼
iehc	浮皮
imfe	光风霁月
inic	泥滩
iqtd	淆乱
joap	显荣
jpqf	晕针
jufn	暗亏
juwg	暗合
ktsr	响板
luuu	圈阅
lwkj	轮唱
memf	骨雕
mnwl	同心合力
mwud	内眷
nubw	屏除
pbid	字源
pffu	守丧
pnvk	密召
qdud	争奇斗艳
qgsr	铺板
qhdc	外码
qmpv	负案
rcwf	瓜仁
relg	摇车
rpet	探胜
spxa	棕红
syyy	柱廊
tdrn	短气
tedp	盘碗
thfi	算逑
tlar	篾匠
tncn	积习难改
trug	臭气冲天
tttd	竹笼
tyqm	我为鱼肉
upte	音容笑貌
utqa	产钳
uulm	立轴
vkaj	召募
vrfh	九牛二虎
vuuk	怒冲冲
wjtd	伸舌
wqmu	傲然屹立
wvev	分腿
xkxx	绢丝
xrqi	缴销
yyig	廓清
aamg	蘣
atwt	蒣
ewyg	脽
itjr	漡
jnhh	虯
kbbb	囁
khyn	趽
lllv	姭
mhtn	幒
nsg	恓
omh	籼
qgk	匐
qgkl	匐
qguf	鳉
qten	銹
qtjh	鋓
rtvg	捼
sqqs	棥
stmy	栴
sxxe	櫞
tmdl	軂
uwae	閥
vcb	孥
vcbf	孥
vgmy	嫧
wqnn	佨
wwhh	睂
ykkf	譂
afsd	东走西顾
aiqf	藩镇
axou	药料
ayed	蓄须
cakh	驱遣
dffv	有进无退
dhsy	彗核
egny	悬心
fcvk	云絮
fdcn	过而能改
fgus	干亲
fhbu	越障
ftwt	地利人和
ftys	考订
gcyt	到庭
gkma	事典
gkvf	整建
gqqd	兀然
guuu	不关痛痒
hact	虚骄
ieqt	淫猥
ifiu	潮润
ihpu	小褂
iimf	沙雕
inia	漏泄
ipdi	深耕
iyrn	流气
jyqn	蛀蚀
kpvs	喧杂
ldti	罪愆
lfuj	车载斗量
matt	曲笔
mdog	炭精
ndlx	发奋图强
nkvg	心口如一
nueb	悦服
olfy	烟霭
pbym	字调
pjth	审处
qmqd	钢铸
qynl	卵翼
rahi	抽薪止沸
rcav	反切
rcrk	反扣
rvsw	搜检
ryqs	白衣卿相
sfxh	标引
srkh	株距
supw	校容
tdjv	知照
tgxh	征引
tmit	微少
toip	翻沉
tpfj	管井
tquj	称意
tspv	条案
tstd	箱笼
ttlu	生物圈
ujal	间苗
uvda	妆奁
uvqd	歉然
vgal	嫩苗
virl	妙舞
vptd	婉辞
wrqq	倒挂金钟
wtpu	余裕
wydj	含悲
wykd	依顺
xaab	绿茸茸
xbri	经院哲学
xhjm	纵虎归山
xnbk	母以子贵
xysg	统配
yent	衣履
ykuy	识辨
qgk	鳄
qgk	镉
adm	蒇
admt	蒇
afnb	芌
dejc	鬘
dhdj	剨
eyn	胲
eynw	胲
fkuf	壴
fyao	墌
gaou	烎
gfwy	玞
gqto	鷔
gwcy	玜
haow	虡
iqiy	沵
kftj	啫
khg	趼
khga	趼
lqwy	軟
lvy	轫
lvyy	軔
mrg	岶
nwem	顟
pywa	禴
qogy	鯆
qtc	猱
qtcs	猱
rsjh	撢
sgfj	醹
sghk	酟
tnih	穉
vakc	彠
vdeg	姷
vtgf	媑
vygg	妵
wqk	佝
wqkg	佲
xtvb	郷
ybkf	嚲
ykhp	讉
yplh	諢
yqoy	諊
ajrv	草垫
aqdw	敬奉
bdiy	随大流
besy	阴核
buxd	陪绑
cdfc	驮运
chpn	鸡皮鹤发
djiu	悲泣
dndw	克己奉公
dtis	寿酒
dwrf	威信扫地
eryw	鹞鹰
esxa	彩练
ettu	脏乎乎
eyhn	脑颅
eypf	及冠
fgfm	坪坝
fnxk	声强
fupx	无关宏旨
gbwy	顿住
gouw	恶疮
gtad	麦茬
hkdf	占压
iayv	江郎
ictd	治乱
igud	清减
infr	泥垢
iuir	少壮派
jpjh	螟虫
laap	黑蒙蒙
lffj	软塌塌
ltht	略知皮毛
mwph	岑寂
nbwt	憨傻
ngnj	刁悍
nnwq	快像
nygq	心死
pwbf	空际
qair	锚泊
qdqp	久而久之
qerk	解扣
qgyj	饿殍遍野
qhbb	外子
qmlw	钢轮
qnff	刨土
qubm	匀出
rdlk	拜贺
rfrc	扶把
riev	扫堂腿
rqpu	抵补
rtcq	拖驳
rxqa	指错
srnm	板刷
tfcc	街垒
tgwe	生俘
tidf	积沙成塔
tmpn	稠密
tqet	移用
udoy	送粮
ujxf	意绪
upyg	旁证
uwna	美人迟暮
wabc	借取
wgid	剑尖
wrgw	假手于人
wuqq	余音袅袅
xlaa	幼芽
xluq	细瓷
xnhi	弓步
xqwv	约分
ykgj	襄理
yvjt	朗星
yyqu	诡计多端
aff	芏
akkw	歐
anu	荬
anud	荬
aqqu	茤
atdu	芺
aynn	莣
cyth	駲
egkl	腷
fkpd	迼
fkuw	歖
gxxr	瑎
iawc	濩
jbib	蜬
jept	曖
jgmw	昺
jway	蚮
jyim	顥
lkcu	駕
lkvf	妿
lllg	疊
lrff	塹
lrs	椠
mtjl	飅
nthq	覕
nxyx	惤
odth	爏
oopq	鎣
ox	糨
qgtf	鲊
qhpi	迯
qkgd	鋘
qoym	魧
stfh	杄
tams	築
tngf	箼
uawi	閧
wfqe	觷
ydth	讈
yvho	鶶
aaft	攻其无备
acfg	茎干
alng	苗情
avmh	欺君罔上
awiw	花雀
ayrg	荒丘
bufd	出头露面
bwby	陈谷子烂芝麻
cbdf	矜夸
dhgu	面目一新
dutd	磁矩
dwai	硝化甘油
eppt	逐客
faxq	裁纸
ffrh	土牛
fgke	干嚼
fgwi	老来俏
fiaf	声誉鹊起
fnup	声旁
fwgn	求人不如求己
gbwd	天随人愿
gklx	带累
goyi	来京
graf	一抔黄土
gsai	一枕黄粱
gwqg	蚕食鲸吞
icrg	治兵
iros	汽灯
ittk	劣种
jqye	明镜高悬
krua	听阈
mypy	由衷之言
ncqb	怪怨
nfsf	导标
nqvo	心急如火
nswi	以权代法
oqei	炮膛
pefl	农协
pwxt	窗缝
qaet	错用
qmng	负情
qvha	急遽
sata	西藏自治区
scty	树篱
syjs	核果
tarf	得其所哉
tsba	条陈
tukl	科别
twxf	黏结
txrk	系扣
ulsj	前车可鉴
ulwj	奖罚分明
uppd	音容宛在
uyax	凉药
vaym	丸散膏丹
vkcw	恕难
voje	灵明
voys	灵床
vuug	姣美
vuvm	奴颜媚骨
wbqt	仓猝
wfit	会海
xakh	绕嘴
xtpb	绣字
xxvp	幽婉
ykhq	误餐
yksg	衰朽
yqhk	义战
yugp	席卷一空
yukg	谱号
ywwv	为人作嫁
aff	鞋
aff	葑
afao	韉
aqt	莸
aqtn	莸
dawi	礤
dhmy	碵
dwyc	砱
ebn	肔
fwhv	嫢
gwdc	瑖
jgg	蚟
kgjg	咺
khaj	躤
kjn	黾
kjnb	黾
kjwy	雖
lmdy	軮
mwym	嶲
myb	崞
mybg	崞
nwvn	翂
qmyy	釩
qyiy	鍄
scep	樋
trch	箨
uam	癀
uuda	瘥
vdwt	嫀
wgxw	侇
wymm	雋
xfag	纎
yccc	諁
yuph	諦
yyll	乁
aiif	落潮
becw	阻难
bewn	阴阜
bifb	隙地
bwpt	取人之长
bwum	除弊
cesq	勇攀
dtpt	故宅
ecuq	肥效
egsu	悬梯
esog	采精
fltu	协税
gkcp	橐驼
hjfg	旧雨
japu	蟒袍
jcdj	坚厚
jnss	电木
khix	跌涨
khng	嘴刁
kysk	哼歌
lqny	软尺
moad	同类项
onxa	灯心绒
pfdf	穿云破雾
pjfq	冥顽
psti	农林牧副渔
qcis	色酒
qdep	狼奔豕突
qiib	乐池
qrkq	名扬中外
qsry	杀掠
qtew	猴脸
rgen	拥政爱民
rirx	朱批
rjts	提箱
rmkl	抽咽
rurm	拉罐
rury	挨门挨户
sgyn	配房
sjss	查禁
swtl	检务
sxsf	本乡本土
tmts	身条
tudc	简码
ufhj	半旧
uryg	总的说来
ushi	闲步
uxsh	凝想
veyb	退离
vufw	姘夫
wmlw	催办
wotp	人烟稠密
xokm	继嗣
xyrt	红旗手
ywak	夜勤
ywfc	识途老马
ywtg	腐生
dhrm	破缺
acbl	蓩
ahnk	臨
amun	菵
aqcu	芶
aqre	匢
atrb	蓹
aurc	藱
cghy	馬
cknn	乨
cwgg	駩
fyb	雱
ide	洧
ideg	洧
ifiy	浗
iybb	漷
jynw	晐
mkkh	賗
nfwo	鳵
pwuq	窔
qipq	鎲
qkqo	鵵
qogi	鰊
qoqh	鏻
qowo	鰞
qpvg	銨
qrj	刎
qrjh	刎
qtaw	獚
rhaw	歋
sgce	醦
sgyi	醿
tqk	笱
tqkf	笱
ugak	開
uued	癇
vkcy	雝
yfmf	諵
ygam	贇
ynwo	鳸
aabi	芙蓉出水
adqe	甚解
besg	阻梗
cawv	劲健
cddw	参奏
dgca	硬驱
dhrm	破罐
djnh	悲悼
dmrf	威风扫地
eeei	肠肥脑满
egnf	胚层
esso	彩楼
eypv	脉案
fdgo	博而不精
fduu	城阙
fisv	求根
fnmh	霞帔
ghir	下派
gkre	顿足捶胸
gkxa	一品红
hagh	虐政
hgth	凸版
hkpr	鼎足之势
hphp	眈眈
ibnk	池壁
idxv	湖绿
iifu	湮没无闻
ikkk	溃口
imja	洞晓
jggo	师严
khcd	跨骑
kxws	叶绿体
lkcq	回驳
lqya	软席
mfiu	山南海北
miyp	夙兴夜寐
nddh	忧戚
njug	情景交融
ooxq	火纸
oucq	焖鸡
phil	安步当车
prty	额手称庆
qeng	解悟
qnkl	饲喂
qvjc	皱紧
rhpi	年宵
rjnf	揭丑
rnas	氯苯
rsqs	打杀
ryvq	抗婚
sgoq	丁烯
taix	升涨
tkqw	积欠
tqpf	称冠
txcw	繁难
vjbw	剿除
vspb	杂字
wasq	何其相似乃尔
wokm	从业员
wrip	保皇党
wsog	休业
xaqe	红角
xgqm	纯钢
xubk	纡尊降贵
yysq	廊檐
fyb	垴
agjq	莄
aham	萀
crhl	劺
dwgk	硆
eakk	膒
emdj	腨
hamf	甝
iadm	颒
iafl	濭
jghf	昰
khuy	躙
lhn	轳
lhnt	轳
mge	赙
mgef	賻
mtje	颩
mtjj	颾
muph	崹
myfg	賍
oate	糒
puwf	袵
qhlo	鏀
qoua	鮩
rgh	扌
rham	虒
sgal	橊
sgoo	醈
sus	榇
swnn	桘
tawh	衖
tebh	郍
tfvd	臿
uded	痏
vleg	媦
wgki	龣
wvgm	鳬
yqe	廨
yqeh	廨
afaf	靺鞨
agwy	葬仪
antg	苦尽甜来
apax	蒙药
bdwf	承传
bgbj	阢陧
bmmt	出账
cktg	台秤
dxet	袭用
